Name,Brand,Model,Variant,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Estimated_Original_Price
2022 Hyundai Tucson Signature 2.0 AT Petrol,Hyundai,Tucson Signature 2.0,AT PETROL,Nov 2022,19K km,Petrol (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,24.51 Lakh,9.9,9.9,9.7,9.5,8.8,2856000
2022 Tata Punch Creative Dual Tone AMT,Tata,Punch Creative Dual Tone,AMT,Aug 2022,16K km,Petrol (BSVI),Automatic (AMT),1st Owner,Feb 2027,7.70 Lakh,9.9,9.8,9.2,9.5,9.3,954900
2020 MG Motors Hector Super 1.5 Petrol*,Mg,Motors Hector Super 1.5 Petrol*,,Nov 2019,45K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,10.11 Lakh,9.8,9.5,9.2,8.6,8.5,1218000
2022 Kia Seltos GTX Plus 1.5 Diesel AT Dual Tone,Kia,Seltos 1.5 Dual Tone,GTX PLUS DIESEL AT,Jan 2022,58K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,14.59 Lakh,9.6,9.2,8.7,9.0,8.4,1845000
2023 Renault Kiger RXZ MT,Renault,Kiger,RXZ MT,Feb 2023,21K km,Petrol,Manual (Regular),1st Owner,Apr 2027,6.52 Lakh,9.8,9.7,9.6,9.1,8.9,999000
2020 Renault Duster RXZ Turbo Petrol,Renault,Duster,RXZ TURBO PETROL,Oct 2020,46K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,7.48 Lakh,9.8,9.7,9.0,8.9,8.6,1359000
2018 Maruti Suzuki Vitara Brezza ZDi AGS,Maruti,Suzuki Vitara Brezza Zdi Ags,,Sep 2018,125K km,Diesel (BSIV),Automatic (AMT),1st Owner,Apr 2027,6.31 Lakh,9.1,7.7,7.4,7.8,8.0,975000
2016 Maruti Suzuki S-Cross Delta 1.6*,Maruti,Suzuki S-Cross 1.6*,DELTA,Jul 2015,131K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr 2027,4.45 Lakh,9.0,8.8,7.7,6.9,8.4,1199000
2023 Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL AT,Jan 2023,44K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,13.71 Lakh,9.8,9.7,9.4,9.5,8.5,1685000
2017 Hyundai Creta 1.6 SX Plus Auto Petrol*,Hyundai,Creta 1.6 Auto Petrol*,SX PLUS,Oct 2016,110K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Apr 2027,7.32 Lakh,9.5,9.0,8.5,8.0,8.1,1357000
2019 Honda WR-V VX i-VTEC Petrol+cng(Outside Fitted),Honda,Wr-V Vx I-Vtec Petrol+Cng(Outside Fitted),,Feb 2019,46K km,Cng (BSIV),Manual (Regular),1st Owner,Apr 2027,6.31 Lakh,9.8,9.5,8.7,8.6,8.0,975000
2018 Mahindra TUV300 T4 Plus,Mahindra,Tuv300 T4,PLUS,Aug 2018,95K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,5.74 Lakh,9.7,9.4,8.7,8.9,8.8,817000
2024 Hyundai Creta S Plus 1.5 Diesel Knight*,Hyundai,Creta S 1.5 Knight*,PLUS DIESEL,Nov 2023,26K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,14.36 Lakh,9.9,9.8,9.3,9.4,8.8,1450800
2024 Tata Nexon EV Empowered Plus Long Range,Tata,Nexon Ev Empowered Long Range,PLUS,Jan 2024,19K km,Electric (BSVI),Automatic,1st Owner,Apr 2027,11.59 Lakh,,,,,,1929000
2022 Kia Sonet Anniversary Edition 1.5 AT*,Kia,Sonet Anniversary 1.5 At*,EDITION,Dec 2021,46K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Dec 2026,9.87 Lakh,9.8,8.6,9.1,7.6,8.1,1176000
2022 Maruti Suzuki Brezza Zxi Dual Tone,Maruti,Suzuki Brezza Dual Tone,ZXI,Sep 2022,40K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,9.01 Lakh,9.8,9.7,9.2,9.1,8.6,1114000
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,Hyundai,Venue 1.0,SX PLUS TURBO DCT,Sep 2019,66K km,Petrol (BSIV),Automatic (DCT),1st Owner,Sep 2026,7.69 Lakh,9.8,9.5,7.8,8.1,8.0,1110000
2025 Tata Punch EV Empowered Plus S long Range*,Tata,Punch Ev Empowered S Long Range*,PLUS,Dec 2024,27K km,Electric,Automatic,1st Owner,Apr 2027,9.41 Lakh,,,,,,1449000
2019 Ford EcoSport Titanium 1.5L TDCi,Ford,Ecosport Titanium 1.5L,TDCI,May 2019,105K km,Diesel (BSIV),Manual (Regular),3rd Owner,Apr 2027,5.19 Lakh,9.2,8.8,8.6,8.3,7.5,1067000
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL MT,Apr 2021,52K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,11.39 Lakh,9.8,9.7,9.1,8.8,8.5,1376000
2019 Tata Nexon XZ Plus Diesel Dual Tone,Tata,Nexon Dual Tone,XZ PLUS DIESEL,Jan 2019,59K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,7.30 Lakh,9.7,9.2,8.5,8.4,8.3,1090000
2023 Kia Sonet HTX 1.0 Turbo Petrol DCT,Kia,Sonet 1.0,HTX TURBO PETROL DCT,Sep 2023,15K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Oct 2026,9.97 Lakh,9.9,9.8,9.4,8.9,8.7,1229000
2022 Tata Nexon EV XZ Plus LUX*,Tata,Nexon Ev Lux*,XZ PLUS,Oct 2021,86K km,Electric (BSIV),Automatic,1st Owner,,7.91 Lakh,,,,,,1665000
2022 Kia Seltos HTX Plus 1.5 Diesel,Kia,Seltos 1.5,HTX PLUS DIESEL,Jan 2022,103K km,Diesel (BSVI),Manual (Regular),1st Owner,Jan 2027,12.07 Lakh,9.5,9.2,8.2,8.1,8.2,1539000
2022 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR,Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,DIESEL MT,Feb 2022,72K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,18.32 Lakh,9.7,9.5,9.1,8.9,8.7,2159000
2023 Tata Punch Creative AMT*,Tata,Punch Creative Amt*,,Nov 2022,50K km,Petrol (BSVI),Automatic (AMT),1st Owner,Jan 2027,6.78 Lakh,9.7,9.6,9.1,9.0,7.9,849900
2021 Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL AT,Apr 2021,60K km,Diesel (BSVI),Automatic (Torque Convertor),2nd Owner,Apr 2027,11.72 Lakh,9.6,9.6,9.0,8.4,7.8,1415000
2018 Ford EcoSport Trend 1.5L TDCi,Ford,Ecosport Trend 1.5L,TDCI,Oct 2018,53K km,Diesel,Manual (Regular),1st Owner,Jan 2027,6.59 Lakh,9.8,9.6,9.0,9.0,8.6,999900
2014 Ford EcoSport Trend 1.5 TDCi*,Ford,Ecosport Trend 1.5 Tdci*,,Dec 2013,129K km,Diesel (BSIV),Manual (Regular),3rd Owner,Apr 2027,3.06 Lakh,9.5,8.3,7.3,7.2,7.4,780000
2020 Hyundai Venue SX Plus 1.0 Turbo DCT*,Hyundai,Venue 1.0 Dct*,SX PLUS TURBO,Nov 2019,65K km,Petrol (BSIV),Automatic (DCT),1st Owner,Dec 2026,7.44 Lakh,9.7,9.6,8.9,8.2,7.8,1111000
2024 Hyundai Creta 1.5 MPi Petrol MT EX,Hyundai,Creta 1.5 Mpi Ex,PETROL MT,Aug 2024,11K km,Petrol (BSVI),Manual (Regular),1st Owner,Oct 2026,11.50 Lakh,9.9,9.9,9.5,9.0,9.5,1099900
2021 Tata Nexon XE,Tata,Nexon,XE,Jun 2021,58K km,Petrol,Manual (Regular),1st Owner,Apr 2027,5.40 Lakh,9.2,9.1,8.3,8.1,8.5,719900
2021 Hyundai Alcazar Signature (O) 6 STR 1.5 Diesel AT,Hyundai,Alcazar Signature 6 Str 1.5,(O) DIESEL AT,Jul 2021,67K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Aug 2026,14.46 Lakh,9.6,9.5,8.9,8.3,8.1,2014500
2021 Nissan Magnite XV Dual Tone,Nissan,Magnite Xv Dual Tone,,May 2021,28K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr 2027,5.54 Lakh,9.9,9.8,9.4,8.7,8.7,709000
2022 Hyundai Venue SX 1.2 Petrol,Hyundai,Venue 1.2,SX PETROL,Jun 2022,27K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,8.69 Lakh,9.9,9.8,9.1,9.0,8.6,989000
2020 Kia Seltos GTX Plus AT 1.5 Diesel,Kia,Seltos 1.5,GTX PLUS AT DIESEL,Jan 2020,66K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Feb 2027,13.02 Lakh,9.6,9.5,8.9,8.2,8.3,1659000
2022 Mahindra Thar LX Hard Top Diesel AT 4WD,Mahindra,Thar Lx Hard 4Wd,TOP DIESEL AT,Jul 2022,70K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,12.69 Lakh,9.7,9.5,9.2,9.2,7.8,1415000
2020 MG Motors Hector Sharp 1.5 DCT Petrol,Mg,Motors Hector Sharp 1.5,DCT PETROL,Mar 2020,41K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,11.73 Lakh,9.8,9.7,9.0,9.0,8.2,1728000
2016 Ford EcoSport Trend 1.5 TDCi*,Ford,Ecosport Trend 1.5 Tdci*,,Aug 2015,97K km,Diesel (BSIV),Manual (Regular),2nd Owner,Dec 2026,4.38 Lakh,9.6,9.2,8.1,8.2,8.2,860000
2020 Kia Sonet GTX Plus 1.0 DCT,Kia,Sonet 1.0,GTX PLUS DCT,Nov 2020,38K km,Petrol (BSVI),Automatic (DCT),1st Owner,Dec 2026,9.33 Lakh,9.8,9.7,9.0,8.5,8.5,1289000
2019 Ford EcoSport Titanium + 1.5L TDCi,Ford,Ecosport Titanium + 1.5L,TDCI,Jul 2019,106K km,Diesel (BSIV),Manual (Regular),1st Owner,Oct 2026,6.96 Lakh,9.6,9.3,8.4,8.2,8.0,1067000
2021 Kia Seltos GTX Plus DCT 1.4,Kia,Seltos 1.4,GTX PLUS DCT,Apr 2021,62K km,Petrol,Automatic (DCT),1st Owner,Apr 2027,12.09 Lakh,9.8,9.4,9.1,8.2,7.6,1734000
2021 MG Motors Hector Sharp 1.5 Petrol CVT,Mg,Motors Hector Sharp 1.5,PETROL CVT,Feb 2021,69K km,Petrol (BSVI),Automatic (CVT),1st Owner,Feb 2027,12.74 Lakh,9.5,9.5,9.1,8.8,8.5,1769800
2021 MG Motors Hector Plus Sharp 1.5 DCT Petrol,Mg,Motors Hector Sharp 1.5,PLUS DCT PETROL,Aug 2021,48K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Oct 2026,12.71 Lakh,9.8,9.7,9.3,8.9,8.3,1843000
2019 Ford EcoSport Thunder Edition Petrol,Ford,Ecosport Thunder,EDITION PETROL,Sep 2019,58K km,Petrol (BSIV),Manual (Regular),2nd Owner,Nov 2026,6.90 Lakh,9.8,9.6,8.8,8.2,8.2,1018000
2024 Volkswagen Taigun Topline 1.0 TSI MT*,Volkswagen,Taigun Topline 1.0 Tsi Mt*,,Jul 2023,50K km,Petrol (BSVI),Manual (Regular),2nd Owner,Aug 2026,11.25 Lakh,9.8,9.7,9.4,8.9,8.3,1542900
2021 Hyundai Venue SX (O) 1.5 CRDi Executive,Hyundai,Venue 1.5 Crdi Executive,SX (O),Oct 2021,43K km,Diesel (BSVI),Manual (Regular),1st Owner,Oct 2026,9.65 Lakh,9.8,9.7,8.3,8.4,8.1,1185000
2019 Hyundai Venue SX 1.4 (O) CRDi,Hyundai,Venue 1.4 Crdi,SX (O),May 2019,106K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,7.93 Lakh,9.6,9.3,8.3,8.1,8.2,1110000
2016 Ford EcoSport Trend+ 1.0L EcoBoost,Ford,Ecosport Trend+ 1.0L Ecoboost,,Jan 2016,37K km,Petrol (BSIV),Manual (Regular),1st Owner,Feb 2027,5.55 Lakh,9.8,9.7,9.2,8.7,8.8,919600
2023 Tata Safari XZA Plus (O) 6 S Red Dark Edition,Tata,Safari 6 S Red Dark,XZA PLUS (O) EDITION,Feb 2023,19K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,19.14 Lakh,9.5,8.3,9.2,9.6,8.9,2659900
2022 Maruti Suzuki S-Cross Alpha,Maruti,Suzuki S-Cross,ALPHA,Apr 2022,24K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,9.36 Lakh,9.9,9.8,9.3,9.1,8.8,1256000
2024 Hyundai Exter SX (O) Connect 1.2 AMT,Hyundai,Exter Connect 1.2,SX (O) AMT,Mar 2024,20K km,Petrol,Automatic (AMT),1st Owner,Mar 2027,8.73 Lakh,9.9,9.9,9.6,9.4,8.8,1027000
2020 MG Motors Hector Sharp 2.0 Diesel*,Mg,Motors Hector Sharp 2.0 Diesel*,,Nov 2019,75K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,11.02 Lakh,9.5,9.3,8.6,8.2,7.6,1728000
2019 Ford Freestyle Titanium Plus 1.2 Ti-VCT*,Ford,Freestyle Titanium 1.2 Ti-Vct*,PLUS,Sep 2018,86K km,Petrol (BSIV),Manual (Regular),1st Owner,Dec 2026,4.54 Lakh,9.4,9.3,8.3,8.4,8.3,659000
2017 Hyundai Creta 1.6 SX Plus AT Petrol,Hyundai,Creta 1.6,SX PLUS AT PETROL,Aug 2017,84K km,Petrol (BSIV),Automatic (Torque Convertor),2nd Owner,Apr 2027,7.70 Lakh,9.6,9.3,8.2,8.2,8.3,1358000
2018 Ford EcoSport Titanium + 1.5L Ti-VCT AT,Ford,Ecosport Titanium + 1.5L Ti-Vct,AT,Jun 2018,68K km,Petrol (BSIV),Automatic (Torque Convertor),2nd Owner,Apr 2027,6.58 Lakh,9.7,9.4,8.6,8.2,7.9,1137000
2018 Hyundai Creta SX 1.6 CRDi Dual Tone,Hyundai,Creta 1.6 Crdi Dual Tone,SX,Jun 2018,113K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,8.59 Lakh,9.4,8.6,8.1,7.8,8.6,1358000
2019 Kia Seltos GTX Plus 1.4,Kia,Seltos 1.4,GTX PLUS,Sep 2019,40K km,Petrol (BSIV),Manual (Regular),2nd Owner,Apr 2027,10.58 Lakh,9.8,9.7,8.9,8.6,8.1,1669000
2022 Skoda Kushaq Style 1.5L TSI DSG*,Skoda,Kushaq Style 1.5L Tsi Dsg*,,Oct 2021,60K km,Petrol (BSVI),Automatic (DCT),1st Owner,Jan 2027,12.48 Lakh,9.8,9.6,8.1,9.1,8.2,1619000
2014 Ford EcoSport Titanium 1.5 TDCi (Opt),Ford,Ecosport Titanium 1.5 (Opt),TDCI,Jun 2014,94K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr 2027,4.76 Lakh,9.4,8.9,8.0,7.7,7.6,980000
2022 Volkswagen Taigun Topline 1.0 TSI MT,Volkswagen,Taigun Topline 1.0 Tsi,MT,Feb 2022,34K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,11.36 Lakh,9.9,9.8,9.4,9.3,8.8,1539900
2023 Tata Nexon XZA Plus LUXS Dark Edition,Tata,Nexon Luxs Dark,XZA PLUS EDITION,Jan 2023,24K km,Petrol,Automatic (AMT),1st Owner,Apr 2027,10.66 Lakh,9.9,9.8,9.6,8.7,8.8,1259900
2018 Hyundai Creta E Plus 1.4 CRDI,Hyundai,Creta E 1.4 Crdi,PLUS,Jan 2018,118K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,7.17 Lakh,9.5,9.2,8.2,7.3,8.4,999900
2018 Tata Nexon XM Diesel,Tata,Nexon,XM DIESEL,Feb 2018,96K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr 2027,5.62 Lakh,9.2,8.8,7.4,7.9,7.9,873000
2023 Tata Punch Creative AMT,Tata,Punch Creative,AMT,Jun 2023,21K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr 2027,7.95 Lakh,9.9,9.8,9.7,9.3,8.7,974900
2023 Mahindra Thar LX Hard Top Diesel AT 4WD*,Mahindra,Thar Lx Hard 4Wd*,TOP DIESEL AT,Oct 2022,67K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,12.44 Lakh,9.5,9.2,8.4,9.0,7.9,1415000
2024 Mahindra XUV700 AX5 Diesel MT 7 STR,Mahindra,Xuv700 Ax5 7 Str,DIESEL MT,Jun 2024,49K km,Diesel,Manual (Regular),1st Owner,Apr 2027,17.81 Lakh,9.8,9.7,9.5,8.8,8.5,1824000
2021 Tata Harrier XMA*,Tata,Harrier Xma*,,Feb 2020,39K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Dec 2026,11.84 Lakh,9.8,9.7,9.1,8.2,8.7,1780000
2022 Skoda Kushaq Style 1.5L TSI MT*,Skoda,Kushaq Style 1.5L Tsi Mt*,,Sep 2021,51K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr 2027,10.45 Lakh,9.8,9.7,8.2,8.7,8.7,1619000
2018 Ford EcoSport Titanium + 1.5L Ti-VCT AT,Ford,Ecosport Titanium + 1.5L Ti-Vct,AT,Jan 2018,68K km,Petrol (BSIV),Automatic (Torque Convertor),1st Owner,Nov 2026,7.03 Lakh,9.8,9.6,9.0,8.5,8.2,1137000
2024 Nissan Magnite XV,Nissan,Magnite Xv,,Apr 2024,25K km,Petrol (BSVI),Manual (Regular),1st Owner,Sep 2026,6.73 Lakh,9.9,9.8,9.7,9.5,9.0,860000
2023 Renault Kiger RXT (O) MT Dual Tone,Renault,Kiger Dual Tone,RXT (O) MT,Mar 2023,25K km,Petrol (BSVI),Manual (Regular),1st Owner,Nov 2026,6.24 Lakh,9.9,9.8,9.3,9.5,9.2,817000
2023 Hyundai Venue SX 1.2 Petrol,Hyundai,Venue 1.2,SX PETROL,Jun 2023,36K km,Petrol,Manual (Regular),1st Owner,Apr 2027,8.92 Lakh,9.9,9.8,8.9,8.7,8.1,1089900
2022 Maruti Suzuki Brezza Zxi Plus Dual Tone,Maruti,Suzuki Brezza Dual Tone,ZXI PLUS,May 2022,123K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,8.82 Lakh,9.6,9.2,8.0,8.2,8.1,1246000
2018 Honda BR-V S Diesel,Honda,Br-V S,DIESEL,Jan 2018,79K km,Diesel (BSIV),Manual (Regular),2nd Owner,Apr 2027,6.55 Lakh,9.6,9.2,8.3,6.3,8.2,1134000
2024 Tata Punch Creative Dual Tone AMT Sunroof,Tata,Punch Creative Dual Tone Sunroof,AMT,Apr 2024,19K km,Petrol,Automatic (AMT),1st Owner,Apr 2027,8.76 Lakh,9.9,9.8,9.2,9.2,8.8,989900
2023 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR*,Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str*,DIESEL MT,Nov 2022,54K km,Diesel (BSVI),Manual (Regular),1st Owner,Nov 2026,18.59 Lakh,9.8,9.6,9.0,9.0,8.4,2145000
2023 Maruti Suzuki Brezza Zxi Plus Dual Tone,Maruti,Suzuki Brezza Dual Tone,ZXI PLUS,Feb 2023,36K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,10.14 Lakh,9.9,9.8,9.4,8.9,8.7,1248000
2020 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Hyundai,Creta 1.4 7,SX (O) TURBO DCT,Sep 2020,92K km,Petrol,Automatic (DCT),1st Owner,Apr 2027,10.86 Lakh,9.6,9.1,8.9,8.6,8.2,1616000
2015 Hyundai Creta 1.6 SX Plus Petrol,Hyundai,Creta 1.6,SX PLUS PETROL,Aug 2015,104K km,Petrol,Manual (Regular),1st Owner,Oct 2026,6.41 Lakh,9.6,9.2,7.4,8.2,8.8,1119000
2019 Ford EcoSport Titanium 1.5L Ti-VCT,Ford,Ecosport Titanium 1.5L Ti-Vct,,,,,,,,6.93 Lakh,,,,,,1099000
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,Hyundai,Venue 1.0,SX (O) TURBO DCT,May 2023,55K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr 2027,10.32 Lakh,9.7,9.6,9.4,9.0,7.5,1272000
2016 Hyundai Creta 1.6 SX (O),Hyundai,Creta 1.6,SX (O),Jun 2016,107K km,Diesel (BSIV),Manual (Regular),2nd Owner,Aug 2026,7.55 Lakh,9.4,8.9,7.1,7.4,8.6,1376880
2023 Hyundai Alcazar Signature 6 STR 1.5 Diesel*,Hyundai,Alcazar Signature 6 Str 1.5 Diesel*,,May 2022,82K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,14.42 Lakh,9.7,9.5,9.0,8.5,8.9,1999900
2023 Maruti Suzuki Brezza ZXi Plus,Maruti,Suzuki Brezza,ZXI PLUS,Jul 2023,36K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr 2027,10.30 Lakh,9.9,9.8,9.5,9.4,8.8,1248000
2023 Mahindra XUV 300 W6 1.2 Petrol AMT,Mahindra,Xuv 300 1.2,W6 PETROL AMT,Jul 2023,14K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr 2027,9.04 Lakh,9.9,9.7,9.4,9.2,9.0,1145000
2025 Tata Punch Creative Plus AMT*,Tata,Punch Creative Amt*,PLUS,Dec 2024,10K km,Petrol,Automatic (AMT),1st Owner,Apr 2027,8.42 Lakh,9.9,9.9,8.1,9.8,9.3,989900
2019 Hyundai Creta SX 1.6 Petrol,Hyundai,Creta 1.6,SX PETROL,Mar 2019,76K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr 2027,8.21 Lakh,9.7,9.5,8.7,8.4,8.4,1346000
2018 Tata Nexon XZA Plus AMT Petrol,Tata,Nexon,XZA PLUS AMT PETROL,Aug 2018,116K km,Petrol (BSIV),Automatic (AMT),1st Owner,Apr 2027,6 Lakh,9.4,9.1,8.6,8.2,7.2,1030000
2025 Tata Curvv Creative Plus S 1.5 Kryojet Diesel 6MT*,Tata,Curvv Creative S 1.5 Kryojet 6Mt*,PLUS DIESEL,Aug 2024,19K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,14.54 Lakh,9.9,9.9,9.4,9.3,9.3,1399900
